ID,Total,Pattern,Projects,CWE,SAST ID,Level,Example
V3064,8,A value of variable is not modified. Consider inspecting the expression. It is possible that other value should be present instead of '0'.,Lynx,682,,3,A value of variable is not modified. Consider inspecting the expression. It is possible that other value should be present instead of '0'.
V3068,8,"This file is marked with copyleft license, which requires you to open the derived source code.",GifRecorder,0,,1,"This file is marked with copyleft license, which requires you to open the derived source code."
V3072,7,Not all IDisposable members are properly disposed. Call 'Dispose' when disposing ' ' class. Inspect: _,"GifRecorder, Chloe, Foster_issues, Lynx, Foster",0,,2,Not all IDisposable members are properly disposed. Call 'Dispose' when disposing 'InnerAdoSession' class. Inspect: _externalAdoSession.
V3073,7,"Unsafe invocation of event  , NullReferenceException is possible. Consider assigning event to a local variable before invoking it.","Chloe, GifRecorder",367,,2,"Unsafe invocation of event 'OnReaderExecuting', NullReferenceException is possible. Consider assigning event to a local variable before invoking it."
V3074,7,"Unsafe invocation of event  , NullReferenceException is possible. Consider assigning event to a local variable before invoking it.","Chloe, GifRecorder",367,"OWASP-1.11.3, OWASP-11.1.6",2,"Unsafe invocation of event 'OnReaderExecuting', NullReferenceException is possible. Consider assigning event to a local variable before invoking it."
V3080,7,Unsafe locking on a type. All instances of a type will have the same 'Type' object.,"Chloe, SpreadCheetah, GifRecorder",833,,2,Unsafe locking on a type. All instances of a type will have the same 'Type' object.
V3083,7,Possible null dereference of 'complexPropertyDescriptor'. The 'FirstOrDefault' can return default null value.,"Chloe, GifRecorder, Riter, RestSharp",476,,2,Possible null dereference of 'complexPropertyDescriptor'. The 'FirstOrDefault' can return default null value.
V3090,7,Method parameter is not used: ,"SoundFlow, GifRecorder",0,,3,Method parameter is not used: pasteIndex.
V3095,6,The ' ' variable is assigned values twice successively. Perhaps this is a mistake. Check lines: ,"Chloe, Riter, GifRecorder",563,,2,"The 'dataList' variable is assigned values twice successively. Perhaps this is a mistake. Check lines: 306, 292."
V3097,5,Possibly index is out of bound. The value of 'promotedPiece' index could reach 15.,"Lynx, GifRecorder",125,,2,Possibly index is out of bound. The value of 'promotedPiece' index could reach 15.
V3100,5,Priority of the '&&' operator is higher than that of the '||' operator. Possible missing parentheses.,GifRecorder,0,,3,Priority of the '&&' operator is higher than that of the '||' operator. Possible missing parentheses.
V3106,5,Potential division by zero. Consider inspecting denominator ',"SoundFlow, GifRecorder",369,,2,Potential division by zero. Consider inspecting denominator '(MaxColorsWithTransparency - 1)'.
V3109,4,An excessive type cast. The object is already of the ' ' type.,Chloe,704,,2,An excessive type cast. The object is already of the 'ComplexObjectModel' type.
V3111,4,The ' s' variable is assigned but is not used by the end of the function.,"Chloe, GifRecorder",563,,2,The 'provinces' variable is assigned but is not used by the end of the function.
V3114,4,NullReferenceException is possi ble. Unhandled exceptions in destructor lead to termination of runtime.,"Foster_issues, Foster",476,,3,NullReferenceException is possible when dereferencing 'GraphicsDevice' variable. Unhandled exceptions in destructor lead to termination of runtime.
V3117,4,Parameter of the 'CancellationToken' type is not utilized inside a method. Ignoring the parameter can cause application to be unresponsive to cancellation events.,"LunrCore, SpreadCheetah, RestSharp",0,,3,Parameter of the 'CancellationToken' type is not utilized inside a method. Ignoring the parameter can cause application to be unresponsive to cancellation events.
V3120,4,"Waiting on this expression is unreliable, as compiler may optimize some of the variables. Use volatile variable(s) or synchronization primitives to avoid this.","SoundFlow, GifRecorder",835,,2,"Waiting on this expression is unreliable, as compiler may optimize some of the variables. Use volatile variable(s) or synchronization primitives to avoid this."
V3125,4,"The code's operational logic does not correspond with its formatting. The statement is indented to the right, but it is always executed. It is possible that curly brackets are missing.",GifRecorder,483,,1,"The code's operational logic does not correspond with its formatting. The statement is indented to the right, but it is always executed. It is possible that curly brackets are missing."
V3127,4,Possible command injection. Potentially tainted data in the 'info' variable is used to create an OS command.,GifRecorder,77,OWASP-5.3.8,3,Possible command injection. Potentially tainted data in the 'info' variable is used to create an OS command.
V3130,3,The ' DbSession ' class contains 'Dispose' method. Consider making it implement 'IDisposable' interface.,Chloe,0,,3,The 'DbSession' class contains 'Dispose' method. Consider making it implement 'IDisposable' interface.
V3134,3,Consider reviewing the correctness of 'Prime2' item's usage.,"Chloe, SoundFlow, SpreadCheetah",682,,3,Consider reviewing the correctness of 'Prime2' item's usage.
V3137,3,The expression was implicitly cast from 'int' type to 'float' type. Consider utilizing an explicit type cast to avoid the loss of a fractional part. An example: double A = (double)(X) / Y;.,"Foster_issues, Foster",682,,1,The expression was implicitly cast from 'int' type to 'float' type. Consider utilizing an explicit type cast to avoid the loss of a fractional part. An example: double A = (double)(X) / Y;.
V3138,3,The 'interval' sub-expression is present on both sides of the operator. The expression is incorrect or it can be simplified.,"Foster_issues, SoundFlow, Foster",0,,2,The 'interval' sub-expression is present on both sides of the operator. The expression is incorrect or it can be simplified.
V3139,3,"The expression is incorrect or it can be simplified. The 'SetFileRankMask(-1, rank)' expression always evaluates to '0'.","Lynx, SoundFlow",682,,3,"The expression is incorrect or it can be simplified. The 'SetFileRankMask(-1, rank)' expression always evaluates to '0'."
V3142,3,WPF: a class containing registered property does not correspond with a type that is passed as the ownerType.,GifRecorder,0,,1,WPF: a class containing registered property does not correspond with a type that is passed as the ownerType.
V3144,2,"Referenced package Npgsql 8.0.3 depends on assembly System.Text.Json 8.0.0.0 from the System.Text.Json package which contains vulnerabilities according to CVE-2024-30105, CVE-2024-43485.","Chloe, RestSharp",0,,2,"Referenced package Npgsql 8.0.3 depends on assembly System.Text.Json 8.0.0.0 from the System.Text.Json package which contains vulnerabilities according to CVE-2024-30105, CVE-2024-43485."
V3146,2,Possible insecure deserialization. Potentially tainted data in the ' json' variable is used to deserialize an object.,LunrCore,502,"OWASP-1.5.2, OWASP-5.5.3",3,Possible insecure deserialization. Potentially tainted data in the 'utf8json' variable is used to deserialize an object.
V3148,2,The 'occupancy' variable is assigned the '0' value that it already holds.,Lynx,1164,,3,The 'occupancy' variable is assigned the '0' value that it already holds.
V3149,2,Shift by a possibly negative number -1 will result in shifting the first operand by 6 low-order bits of the second operand.,Lynx,128,,2,Shift by a possibly negative number -1 will result in shifting the first operand by 6 low-order bits of the second operand.
V3150,2,Use of ' SHA1' hash algorithm is not recommended. Such code may cause the exposure of sensitive data.,RestSharp,328,,2,Use of 'HMACSHA1' hash algorithm is not recommended. Such code may cause the exposure of sensitive data.
V3155,2,Unreachable code detected. It is possible that an error is present.,GifRecorder,561,,2,Unreachable code detected. It is possible that an error is present.
V3156,2,"The 1st argument 'length - 4' has a possibly negative value, but is expected to be non-negative inside method, in 'ms.Read(buffer, 0, (int)count)'.","SpreadCheetah, GifRecorder",628,,2,"The 1st argument 'length - 4' has a possibly negative value, but is expected to be non-negative inside method, in 'ms.Read(buffer, 0, (int)count)'."
V3167,2,An unconditional 'break' within a loop.,GifRecorder,670,,2,An unconditional 'break' within a loop.
V3168,2,Consider inspecting this expression. The expression is excessive or contains a misprint.,GifRecorder,571,,1,Consider inspecting this expression. The expression is excessive or contains a misprint.
V3171,1,Calling overrideable class member 'CreateDbContext' from constructor is dangerous.,Chloe,0,,2,Calling overrideable class member 'CreateDbContext' from constructor is dangerous.
V3198,1,"Two similar code fragments were found. Perhaps, this is a typo and 'person1' variable should be used instead of 'person2'",Chloe,682,,2,"Two similar code fragments were found. Perhaps, this is a typo and 'person1' variable should be used instead of 'person2'"
V3202,1,Unreachable code detected. The 'case' value 'TablebaseEvaluationCategory.Unknown' is out of range of the match expression 'tablebaseEval.Category'.,Lynx,561,,2,Unreachable code detected. The 'case' value 'TablebaseEvaluationCategory.Unknown' is out of range of the match expression 'tablebaseEval.Category'.
V3203,1,"There are identical sub-expressions 'zobristTable[piece, targetSquare]' to the left and to the right of the '^' operator.",Lynx,0,,1,"There are identical sub-expressions 'zobristTable[piece, targetSquare]' to the left and to the right of the '^' operator."
V3207,1,Suspicious string literal could be a password: 'ClientPassword'. Storing credentials inside source code can lead to security issues.,RestSharp,798,OWASP-2.10.4,3,Suspicious string literal could be a password: 'ClientPassword'. Storing credentials inside source code can lead to security issues.
V5601,1,String literal contains potential interpolated expression. Consider inspecting: user.,RestSharp,0,,3,String literal contains potential interpolated expression. Consider inspecting: user.
V5603,1,"The '?:' operator, regardless of its conditional expression, always returns one and the same value.",Riter,783,,1,"The '?:' operator, regardless of its conditional expression, always returns one and the same value."
V5604,1,Potentially unsafe double-checked locking. Use volatile variable(s) or synchronization primitives to avoid this.,GifRecorder,609,,2,Potentially unsafe double-checked locking. Use volatile variable(s) or synchronization primitives to avoid this.
V5605,1,Potentially unsafe double-checked locking. Use volatile variable(s) or synchronization primitives to avoid this.,GifRecorder,609,"OWASP-11.1.6, OWASP-1.11.3",2,Potentially unsafe double-checked locking. Use volatile variable(s) or synchronization primitives to avoid this.
V5606,1,Do not use old versions of SSL/TLS protocols as it may cause security issues. Insecure protocols: TLS 1.1.,GifRecorder,326,,2,Do not use old versions of SSL/TLS protocols as it may cause security issues. Insecure protocols: TLS 1.1.
V5607,1,Possible exception: the 'WindowPlacement' type marked by [Serializable] contains non-serializable members not marked by [NonSerialized].,GifRecorder,0,,3,Possible exception: the 'WindowPlacement' type marked by [Serializable] contains non-serializable members not marked by [NonSerialized].
V5609,1,The parameter corresponding to the 1st argument 'length - 4' could reach the value of -4 inside method when used as the size of an array.,GifRecorder,839,,2,The parameter corresponding to the 1st argument 'length - 4' could reach the value of -4 inside method when used as the size of an array.
V5611,1,The 'not ExportFormats.Gif or ExportFormats.Apng' logical pattern may not work as expected. The 'not' pattern is matched only to the first expression from the 'or' pattern.,GifRecorder,670,,1,The 'not ExportFormats.Gif or ExportFormats.Apng' logical pattern may not work as expected. The 'not' pattern is matched only to the first expression from the 'or' pattern.
V5612,1,"Awaiting on the 'GetResponse(HttpMethod.Get, url, headers)' expression with potential null value can lead to NullReferenceException.",GifRecorder,476,,2,"Awaiting on the 'GetResponse(HttpMethod.Get, url, headers)' expression with potential null value can lead to NullReferenceException."
V5613,1,The original exception object 'u' was swallowed. Stack of original exception could be lost.,GifRecorder,390,,2,The original exception object 'u' was swallowed. Stack of original exception could be lost.
V5616,1,The original exception object 'u' was swallowed. Stack of original exception could be lost.,GifRecorder,390,OWASP-11.1.8,2,The original exception object 'u' was swallowed. Stack of original exception could be lost.
V5621,1,Exception classes should be publicly accessible.,SpreadCheetah,544,OWASP-7.4.2,3,Exception classes should be publicly accessible.
V5625,1,It's odd that this method always returns one and the same value of 'true'.,SpreadCheetah,393,,2,It's odd that this method always returns one and the same value of 'true'.
,1047,,,,,,
